imdb_id,production_company
tt0113080,Neue Deutsche Filmgesellschaft (NDF)
tt0115680,Zeta Entertainment
tt0117718,Castle Rock Entertainment
tt0116225,Paramount Pictures
tt0112767,Canal+
tt0115632,Eleventh Street Production
tt0117918,New Regency Productions
tt0104109,Gevest Australia Productions
tt0051980,Shochiku
tt0100840,Sara Films
tt0042054,The Peak Film Industries
tt0109255,Constantin Film
tt0104558,Golden Harvest Company
tt0116985,Pope Productions
tt0046468,Toho Company
tt0114474,Billy MacKinnon
tt0115736,Dino De Laurentiis Company
tt0115836,New Regency Productions
tt0101692,Australian Film Finance Corporation (AFFC)
tt0116745,CiBy 2000
tt0119214,Caravan Pictures
tt0116934,The Kaufman Company
tt0109066,Central Motion Pictures
tt0075169,Albatros Filmproduktion
tt0113542,Breakheart Films
tt0106544,Golden Harvest Company
tt0116418,Boomer Pictures
tt0112607,ADR Productions
tt0120004,British Broadcasting Corporation (BBC)
tt0116654,New Line Cinema
tt0116311,Caravan Pictures
tt0117965,Amblin Entertainment
tt0114592,Concrete Films
tt0115725,New Regency Productions
tt0115783,Universal Pictures
tt0120271,Kan Zamia-a
tt0113253,Halloween VI Productions
tt0117991,Renaissance Films
tt0117093,Fine Line Features
tt0024252,Elite-Tonfilm-Produktion GmbH
tt1684935,Akson Studio
tt0111019,Ima Films
tt0032904,Metro-Goldwyn-Mayer (MGM)
tt0045152,Metro-Goldwyn-Mayer (MGM)
tt0043278,Metro-Goldwyn-Mayer (MGM)
tt0050419,Paramount Pictures
tt0054698,Jurow-Shepherd
tt0052357,Alfred J. Hitchcock Productions
tt0047396,Alfred J. Hitchcock Productions
tt0025316,Columbia Pictures
tt0036855,Metro-Goldwyn-Mayer (MGM)
tt0025164,RKO Radio Pictures
tt0053125,Metro-Goldwyn-Mayer (MGM)
tt0053604,The Mirisch Corporation
tt0053291,Ashton Productions
tt0056923,Stanley Donen Films
tt0034583,Warner Bros.
tt0033870,Warner Bros.
tt0047437,Paramount Pictures
tt0046250,Paramount Pictures
tt0031580,Twentieth Century Fox
tt0037059,Metro-Goldwyn-Mayer (MGM)
tt0032138,Metro-Goldwyn-Mayer (MGM)
tt0084370,Metro-Goldwyn-Mayer (MGM)
tt0043014,Paramount Pictures
tt0033467,RKO Radio Pictures
tt0062622,Metro-Goldwyn-Mayer (MGM)
tt0039428,Paramount Pictures
tt0042192,Twentieth Century Fox
tt0032143,Metro-Goldwyn-Mayer (MGM)
tt0032976,Selznick International Pictures
tt0032484,Walter Wanger Productions
tt0038787,RKO Radio Pictures
tt0038109,Selznick International Pictures
tt0050105,Jerry Wald Productions
tt0048728,Paramount Pictures
tt0042451,Metro-Goldwyn-Mayer (MGM)
tt0045537,Metro-Goldwyn-Mayer (MGM)
tt0031725,Metro-Goldwyn-Mayer (MGM)
tt0050658,Billy Wilder Productions
tt0051658,Metro-Goldwyn-Mayer (MGM)
tt0052126,Avon Productions (II)
tt0029843,Warner Bros.
tt0032762,Twentieth Century Fox
tt0037008,Twentieth Century Fox
tt0039420,Twentieth Century Fox
tt0029162,Columbia Pictures
tt0027125,RKO Radio Pictures
tt0035446,Romaine Film Corporation
tt0028010,Universal Pictures
tt0048028,Warner Bros.
tt0025878,Cosmopolitan Productions
tt0032599,Columbia Pictures
tt0038650,Liberty Films (II)
tt0031679,Columbia Pictures
tt0029947,RKO Radio Pictures
tt0034012,Columbia Pictures
tt0036094,Hunt Stromberg Productions
tt0025586,RKO Radio Pictures
tt0038300,Charles R. Rogers Productions
