title,genre,belongs_to_franchise,production_company,runtime,popularity,release_season,release_month,averageRating
The Asphalt Jungle,Action,0,Other,112.0,12.86559,Spring,May,7.9
The Searchers,Other,0,Other,119.0,7.803856,Winter,Mar,7.9
The Devil's Brigade,Other,0,Other,130.0,3.007031,Spring,May,6.8
Any Number Can Win,Romance,0,Other,118.0,1.771915,Winter,Mar,7.3
Betrayed,Action,0,Other,127.0,2.812811,Summer,Aug,6.3
Bound for Glory,Other,0,Other,147.0,3.207471,Fall,Dec,7.3
The Bridge at Remagen,Action,0,Other,117.0,3.425892,Spring,Jun,6.7
Buck and the Preacher,Action,0,Sony Pictures,102.0,2.098149,Winter,Mar,6.5
Daughters of the Dust,Drama,0,Other,112.0,1.09058,Summer,Sep,6.6
Destination Moon,Other,0,Other,91.0,0.940976,Spring,Jun,6.3
The Fantastic Night,Comedy,0,Other,103.0,0.543794,Summer,Jul,6.9
Hangmen Also Die!,Drama,0,Other,134.0,2.54637,Spring,Apr,7.5
The Ogre,Drama,0,Other,118.0,1.545354,Winter,Jan,6.8
On the Beach,Other,0,Other,134.0,4.00437,Fall,Dec,7.2
Railroaded!,Drama,0,Other,72.0,1.344363,Summer,Sep,6.7
Slaves to the Underground,Comedy,0,Other,93.0,0.425474,Fall,Nov,4.9
Song of Freedom,Drama,0,Other,80.0,0.013234,Summer,Aug,6.5
The Taking of Pelham One Two Three,Action,0,Other,104.0,7.762833,Fall,Oct,7.7
Volunteers,Comedy,0,WarnerMedia,107.0,7.511384,Summer,Aug,5.6
Who's Harry Crumb?,Comedy,0,Sony Pictures,94.0,7.102963,Winter,Feb,5.9
Harry and the Hendersons,Comedy,0,Other,110.0,9.296024,Spring,Jun,6.0
Let's Get Harry,Action,0,Other,102.0,0.500088,Winter,Jan,5.4
Shanghai Surprise,Adventure,0,Other,97.0,1.408849,Summer,Aug,3.2
Who's That Girl,Comedy,0,Other,92.0,3.78346,Summer,Aug,4.8
She-Devil,Comedy,0,Other,99.0,4.282807,Fall,Dec,5.7
Date With an Angel,Comedy,0,Other,105.0,1.600871,Fall,Nov,5.8
Blind Date,Comedy,0,Sony Pictures,95.0,6.696292,Winter,Mar,6.0
Nadine,Action,0,Sony Pictures,83.0,7.569698,Summer,Aug,5.6
The Muppet Movie,Adventure,0,Other,97.0,6.769866,Spring,May,7.6
The Great Muppet Caper,Crime,0,Other,95.0,8.87534,Spring,Jun,7.2
The Muppets Take Manhattan,Romance,0,Other,94.0,5.89335,Summer,Jul,6.9
Sesame Street Presents Follow That Bird,Adventure,0,Other,88.0,1.779267,Summer,Aug,6.8
We're Back! A Dinosaur's Story,Other,0,NBCUniversal,72.0,13.58903,Fall,Nov,6.1
Baby: Secret of the Lost Legend,Adventure,0,Other,95.0,1.697935,Winter,Mar,5.1
Turtle Diary,Romance,0,Other,97.0,0.794209,Summer,Sep,6.9
Raise the Titanic,Action,0,Other,115.0,2.132843,Winter,Jan,5.0
Titanic,Drama,0,Walt Disney Studios,98.0,12.90707,Spring,Apr,7.0
A Night to Remember,Drama,0,Other,123.0,6.560231,Fall,Dec,7.9
Captain Horatio Hornblower R.N.,Other,0,WarnerMedia,117.0,1.577618,Spring,Apr,7.3
The Carriers Are Waiting,Drama,0,Other,94.0,0.3943,Spring,May,6.8
Erin Brockovich,Drama,0,NBCUniversal,131.0,10.135446,Winter,Mar,7.4
Final Destination,Horror,1,WarnerMedia,98.0,14.961416,Winter,Mar,6.7
Soft Fruit,Comedy,0,Other,101.0,0.086721,Fall,Oct,6.5
The Bear,Adventure,0,Other,94.0,4.158572,Fall,Oct,7.7
Impact,Drama,0,Other,111.0,1.551252,Winter,Mar,7.1
Love Is a Many-Splendored Thing,Drama,0,Walt Disney Studios,102.0,1.553697,Summer,Aug,6.5
Mirror,Drama,0,Other,106.0,10.11584,Winter,Mar,8.1
The Crimson Pirate,Action,0,WarnerMedia,105.0,2.255459,Summer,Sep,7.3
Thelma & Louise,Drama,0,Other,130.0,14.785388,Spring,May,7.5
Something For Everyone,Comedy,0,Other,112.0,1.171828,Summer,Jul,7.1
...And Justice for All,Crime,0,Sony Pictures,119.0,6.291512,Fall,Oct,7.4
Animal House,Comedy,1,NBCUniversal,109.0,7.525382,Summer,Jul,7.5
She's Gotta Have It,Comedy,0,Other,84.0,7.056652,Summer,Aug,6.8
School Daze,Comedy,0,Sony Pictures,121.0,6.25967,Winter,Feb,6.0
Do the Right Thing,Drama,0,Other,120.0,10.465403,Spring,Jun,8.0
Mo' Better Blues,Drama,0,NBCUniversal,129.0,2.715137,Summer,Aug,6.6
Jungle Fever,Drama,0,NBCUniversal,132.0,7.701918,Spring,Jun,6.6
Coogan's Bluff,Action,0,NBCUniversal,93.0,4.60692,Fall,Oct,6.5
The Champ,Drama,0,Other,121.0,6.463112,Summer,Jul,6.9
Death Wish,Action,1,Other,93.0,12.968011,Summer,Jul,7.0
Death Wish 2,Action,1,Other,88.0,7.965003,Winter,Feb,6.1
Death Wish 3,Action,1,Other,92.0,12.829904,Fall,Nov,5.9
Death Wish 4: The Crackdown,Thriller,1,Other,99.0,4.566325,Spring,Jun,5.5
Death Wish 5: The Face of Death,Action,1,Other,95.0,3.595599,Winter,Jan,4.9
Double Indemnity,Drama,0,ViacomCBS,107.0,6.49432,Spring,Apr,8.3
Dying Young,Drama,0,Other,111.0,10.762636,Spring,Jun,6.1
Cool as Ice,Drama,0,Other,91.0,2.329486,Fall,Oct,2.9
Teenage Mutant Ninja Turtles,Other,1,Other,93.0,13.184585,Winter,Mar,6.8
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Other,1,Other,88.0,7.994266,Winter,Mar,6.1
Teenage Mutant Ninja Turtles III,Action,1,Other,96.0,8.13688,Winter,Mar,4.8
Red Dawn,Action,0,Other,114.0,8.233168,Summer,Aug,6.4
Band of the Hand,Action,0,Other,109.0,4.397712,Spring,Apr,6.3
Born American,Drama,0,Other,97.0,0.286981,Summer,Aug,4.1
Bloodsport,Action,1,Other,92.0,8.822276,Winter,Feb,6.8
Eyes of Laura Mars,Drama,0,Sony Pictures,104.0,3.705714,Summer,Aug,6.2
Funny Bones,Comedy,0,Other,128.0,3.208265,Summer,Sep,6.8
