imdb_id,id,title,budget,revenue,original_language,genre,belongs_to_franchise,production_company,release_date,cert,runtime,popularity,is_Adult,numVotes,averageRating
tt0109813,888,The Flintstones,46000000.0,341631208.0,en,Fantasy,1,Universal Pictures,1994-05-26,PG,91.0,15.019586,0,76447.0,4.9
tt0109830,13,Forrest Gump,55000000.0,677945399.0,en,Comedy,0,Paramount Pictures,1994-07-06,PG-13,142.0,48.307194,0,1834928.0,8.8
tt0109831,712,Four Weddings and a Funeral,6000000.0,254700832.0,en,Comedy,0,PolyGram Filmed Entertainment,1994-03-09,R,117.0,8.990345,0,141252.0,7.1
tt0110093,10879,I Love Trouble,45000000.0,61947267.0,en,Action,0,Annhall,1994-06-29,PG,123.0,3.570874,0,11509.0,5.3
tt0110357,8587,The Lion King,45000000.0,788241776.0,en,Family,1,Walt Disney Pictures,1994-06-23,G,89.0,21.605761,0,954291.0,8.5
tt0107426,1689,Little Buddha,35000000.0,4858139.0,en,Drama,0,CiBy 2000,1993-12-01,PG,140.0,5.681522,0,15920.0,6.1
tt0111686,11596,New Nightmare,14000000.0,18090181.0,en,Horror,1,New Line Cinema,1994-10-13,R,112.0,9.860522,0,51903.0,6.5
tt0110475,854,The Mask,23000000.0,351583407.0,en,Romance,1,New Line Cinema,1994-07-29,PG-13,101.0,14.13488,0,350277.0,6.9
tt0110622,36593,The Naked Gun 33⅓: The Final Insult,30000000.0,51132598.0,en,Comedy,1,Paramount Pictures,1994-03-18,PG-13,83.0,10.587232,0,98248.0,6.5
tt0110950,2788,Reality Bites,11500000.0,20079850.0,en,Drama,0,Jersey Films,1994-02-18,PG-13,99.0,6.514592,0,46533.0,6.6
tt0105226,10427,Red Rock West,8000000.0,2000000.0,en,Crime,0,Propaganda Films,1993-07-08,R,98.0,5.137903,0,20525.0,7.0
tt0111257,1637,Speed,30000000.0,350448145.0,en,Action,1,The Mark Gordon Company,1994-06-09,R,116.0,10.859292,0,332615.0,7.2
tt0111438,8831,Timecop,27000000.0,101646581.0,en,Thriller,1,Largo Entertainment,1994-09-15,R,99.0,8.907074,0,56220.0,5.9
tt0111503,36955,True Lies,115000000.0,378882411.0,en,Action,0,Twentieth Century Fox,1994-07-14,R,141.0,11.396099,0,240060.0,7.2
tt0110399,26352,A Low Down Dirty Shame,10000000.0,29392418.0,en,Action,0,Caravan Pictures,1994-11-23,R,100.0,3.021526,0,6577.0,6.0
tt0110186,22067,Jason's Lyric,7000000.0,20851521.0,en,Crime,0,"Jackson/McHenry Company,The",1994-09-28,R,119.0,0.912909,0,3721.0,6.6
tt0111301,11667,Street Fighter,35000000.0,99423521.0,en,Action,0,Capcom Entertainment,1994-12-22,PG-13,102.0,13.58449,0,66545.0,4.0
tt0110027,8011,Highlander: The Final Dimension,26000000.0,36800000.0,en,Action,1,Fallingcloud,1994-11-29,PG-13,99.0,6.866634,0,19994.0,4.5
tt0113409,2654,In the Mouth of Madness,8000000.0,8946600.0,en,Horror,0,New Line Cinema,1994-12-12,R,95.0,8.497643,0,62336.0,7.2
tt0106226,10436,The Age of Innocence,34000000.0,32255440.0,en,Drama,0,Columbia Pictures,1993-09-17,PG,139.0,8.013617,0,54359.0,7.2
tt0109067,46094,The Air Up There,17080000.0,21011500.0,en,Comedy,0,Hollywood Pictures,1994-01-07,PG,107.0,1.896273,0,8448.0,5.6
tt0109254,306,Beverly Hills Cop III,50000000.0,119208989.0,en,Action,1,Paramount Pictures,1994-05-24,R,104.0,11.787784,0,77137.0,5.6
tt0106452,4722,Body Snatchers,13000000.0,428868.0,en,Horror,0,Dorset Productions,1993-06-09,R,87.0,6.559693,0,16888.0,6.0
tt0106489,1607,A Bronx Tale,22000000.0,17287898.0,en,Drama,0,Price Entertainment,1993-09-14,R,121.0,6.115628,0,129644.0,7.8
tt0106505,117553,Calendar Girl,13000000.0,2570145.0,en,Drama,0,Parkway Productions,1993-09-03,PG-13,90.0,1.316741,0,2132.0,5.1
tt0106519,6075,Carlito's Way,30000000.0,36516012.0,en,Action,1,Universal Pictures,1993-11-10,R,144.0,8.698509,0,202994.0,7.9
tt0106582,9350,Cliffhanger,70000000.0,255000211.0,en,Action,0,Carolco Pictures,1993-05-28,R,112.0,9.830853,0,120723.0,6.5
tt0109456,2124,Color of Night,40000000.0,19726050.0,en,Drama,0,Cinergi Pictures Entertainment,1994-08-19,R,121.0,14.228963,0,22839.0,5.2
tt0106677,9571,Dazed and Confused,6900000.0,7993039.0,en,Comedy,0,Gramercy Pictures (I),1993-09-24,R,102.0,6.8652,0,168046.0,7.6
tt0106697,9739,Demolition Man,57000000.0,159055768.0,en,Crime,0,Warner Bros.,1993-10-08,R,115.0,11.626116,0,160625.0,6.7
tt0106941,9024,For Love or Money,30000000.0,11146270.0,en,Comedy,0,Universal Pictures,1993-10-01,PG,94.0,8.468869,0,12926.0,6.2
tt0106965,1634,Free Willy,20000000.0,153698625.0,en,Family,1,Warner Bros. Family Entertainment,1993-07-16,PG,112.0,5.990572,0,69640.0,6.0
tt0106977,5503,The Fugitive,44000000.0,368875760.0,en,Adventure,1,Warner Bros.,1993-08-06,PG-13,130.0,10.08937,0,269996.0,7.8
tt0107004,35588,Geronimo: An American Legend,35000000.0,18635620.0,en,History,0,Columbia Pictures,1993-12-10,PG-13,115.0,4.653462,0,9618.0,6.5
tt0107076,2019,Hard Target,18000000.0,74189677.0,en,Action,1,Universal Pictures,1993-08-20,R,97.0,7.834351,0,45453.0,6.2
tt0107144,9255,Hot Shots! Part Deux,25000000.0,133752825.0,en,Action,1,Twentieth Century Fox,1993-05-21,PG-13,86.0,13.482371,0,84978.0,6.6
tt0107206,9386,In the Line of Fire,40000000.0,176997168.0,en,Action,0,Columbia Pictures,1993-07-08,R,128.0,12.637158,0,93812.0,7.2
tt0107207,7984,In the Name of the Father,13000000.0,65796862.0,en,Drama,0,Hell's Kitchen Films,1993-12-12,R,133.0,7.405895,0,159235.0,8.1
tt0107290,329,Jurassic Park,63000000.0,920100000.0,en,Adventure,1,Universal Pictures,1993-06-11,PG-13,127.0,8.863776,0,877852.0,8.1
tt0107302,10909,Kalifornia,9000000.0,2395231.0,en,Thriller,0,PolyGram Filmed Entertainment,1993-09-01,R,117.0,8.4337,0,51227.0,6.7
tt0110265,507,Killing Zoe,1500000.0,418961.0,en,Action,0,Davis-Films,1993-10-01,R,96.0,4.948569,0,19712.0,6.5
tt0107362,9593,Last Action Hero,85000000.0,137298489.0,en,Adventure,0,Columbia Pictures,1993-06-18,PG-13,130.0,9.434006,0,138052.0,6.4
